Cod Mec,Escola,Gre,Município
26000024,Escola de Referencia em Ensino Medio Luiz Gonzaga Duarte,Sertao do Araripe(Araripina),Araripina
26000261,Escola da Independencia,Sertao do Araripe(Araripina),Araripina
26000636,Escola de Referencia em Ensino Medio Manoel Ribeiro Damasceno,Sertao do Araripe(Araripina),Araripina
26000741,Escola de Referencia em Ensino Medio Padre Luiz Gonzaga,Sertao do Araripe(Araripina),Araripina
26000792,Escola Professor Manoel Bonifacio Costa,Sertao do Araripe(Araripina),Araripina
26001225,Escola Sao Joao Batista - Araripina,Sertao do Araripe(Araripina),Araripina
26001594,Escola Moises Bom de Oliveira,Sertao do Araripe(Araripina),Araripina
26001624,Escola de Referencia em Ensino Medio Anizio Rodrigues Coelho,Sertao do Araripe(Araripina),Araripina
26001896,Escola Vitalina Maria de Jesus,Sertao do Araripe(Araripina),Araripina
26001900,Escola Joao Carlos Locio de Almeida,Sertao do Araripe(Araripina),Bodoco
26001942,Escola de Referencia em Ensino Medio Artur Barros Cavalcanti,Sertao do Araripe(Araripina),Bodoco
26003066,Escola de Referencia em Ensino Medio Barao de Exu,Sertao do Araripe(Araripina),Exu
26003082,Escola Padre Medeiros,Sertao do Araripe(Araripina),Exu
26003210,Escola Sao Vicente de Paula - Exu,Sertao do Araripe(Araripina),Exu
26003821,Escola Nelson Araujo,Sertao do Araripe(Araripina),Exu
26004453,Escola Nossa Senhora do Bom Conselho,Sertao do Araripe(Araripina),Granito
26004488,Escola Nossa Senhora do Socorro,Sertao do Araripe(Araripina),Ipubi
26004518,Escola de Referencia em Ensino Medio Arao Peixoto de Alencar,Sertao do Araripe(Araripina),Ipubi
26004593,Escola de Referencia em Ensino Medio Joaquim Eugenio Silva,Sertao do Araripe(Araripina),Ipubi
26005107,Escola de Referencia em Ensino Medio Sao Sebastiao - Ouricuri,Sertao do Araripe(Araripina),Ouricuri
26005115,Escola de Referencia em Ensino Medio Fernando Bezerra,Sertao do Araripe(Araripina),Ouricuri
26005468,Escola Nossa Senhora de Fatima - Ouricuri,Sertao do Araripe(Araripina),Ouricuri
26005689,Escola Sao Vicente de Paula - Ouricuri,Sertao do Araripe(Araripina),Ouricuri
26006138,Escola Dom Idilio Jose Soares,Sertao do Araripe(Araripina),Ouricuri
26006499,Escola Professor Telesforo Siqueira,Sertao do Araripe(Araripina),Ouricuri
26008181,Escola de Referencia em Ensino Medio Presidente Medici - Moreilandia,Sertao do Araripe(Araripina),Moreilandia
26008467,Escola Coronel Chico Romao,Sertao do Araripe(Araripina),Moreilandia
26008505,Escola Maria Luiza de Brito Ferreira,Sertao do Araripe(Araripina),Moreilandia
26008530,Escola de Referencia em Ensino Medio Governador Muniz Falcao,Sertao do Araripe(Araripina),Trindade
26008548,Escola Hortencio Pereira Lima,Sertao do Araripe(Araripina),Trindade
26008882,Escola Professora Antonia Marinho Apolinario,Sertao do Araripe(Araripina),Trindade
26009315,Escola de Referencia em Ensino Medio Professor Manoel Joaquim Leite,Sertao Central(Salgueiro),Cedro
26009323,Escola de Referencia em Ensino Fundamental E Medio Valdicleiwtson da Silva Menezes,Sertao Central(Salgueiro),Cedro
26009390,Escola de Referencia em Ensino Medio Francisco Pires,Sertao Central(Salgueiro),Mirandiba
26009617,Escola Francisco Alves de Carvalho,Sertao Central(Salgueiro),Mirandiba
26010100,Escola Andre Nunes,Sertao Central(Salgueiro),Mirandiba
26010151,Escola de Referencia em Ensino Medio Odorico Melo,Sertao Central(Salgueiro),Parnamirim
26010607,Escola Euclides da Cunha,Sertao Central(Salgueiro),Parnamirim
26011050,Escola Antonio Vieira de Barros,Sertao Central(Salgueiro),Salgueiro
26011069,Escola de Referencia em Ensino Medio Aura Sampaio Parente Muniz,Sertao Central(Salgueiro),Salgueiro
26011344,Escola Tecnica Estadual Professor Urbano Gomes de Sa,Sertao Central(Salgueiro),Salgueiro
26011352,Escola Professora Maurina Rodrigues Dos Santos,Sertao Central(Salgueiro),Salgueiro
26011611,Escola de Referencia em Ensino Medio Carlos Pena Filho,Sertao Central(Salgueiro),Salgueiro
26011654,Escola de Referencia em Ensino Fundamental Jose Vitorino de Barros,Sertao Central(Salgueiro),Salgueiro
26011883,Escola Professor Manuel Leite,Sertao Central(Salgueiro),Salgueiro
26012081,Escola de Referencia em Ensino Fundamental E Ensino Medio Agricola de Umas,Sertao Central(Salgueiro),Salgueiro
26012359,Escola de Referencia em Ensino Medio Doutor Walmy Campos Bezerra,Sertao Central(Salgueiro),Sao Jose do Belmonte
26013185,Escola de Referencia em Ensino Fundamental E Medio Professor Manoel de Queiroz,Sertao Central(Salgueiro),Sao Jose do Belmonte
26013436,Escola de Referencia em Ensino Fundamental E Ensino Medio Napoleao Araujo,Sertao Central(Salgueiro),Sao Jose do Belmonte
26013452,Escola de Referencia em Ensino Medio Desembargador Joao Paes,Sertao Central(Salgueiro),Serrita
26014190,Escola de Referencia em Ensino Medio Anisio Veras,Sertao Central(Salgueiro),Verdejante
26014564,Escola de Referencia em Ensino Medio Normal Estadual Professora Ione de Goes Barros,Sertao do Alto Pajeu(Afogados da Ingazeira),Afogados da Ingazeira
26014572,Escola Conego Joao Leite Goncalves de Andrade,Sertao do Alto Pajeu(Afogados da Ingazeira),Afogados da Ingazeira
26014670,Escola de Referencia em Ensino Medio Monsenhor Antonio de Padua Santos,Sertao do Alto Pajeu(Afogados da Ingazeira),Afogados da Ingazeira
26015315,Escola de Referencia Ensino Medio Jose Severino de Araujo,Sertao do Alto Pajeu(Afogados da Ingazeira),Brejinho
26015625,Escola de Referencia em Ensino Medio Antonio Gomes de Lima,Sertao do Alto Pajeu(Afogados da Ingazeira),Calumbi
26016010,Escola Joao Gomes Dos Reis,Sertao do Alto Pajeu(Afogados da Ingazeira),Carnaiba
26016028,Escola de Referencia em Ensino Medio Joaquim Mendes da Silva,Sertao do Alto Pajeu(Afogados da Ingazeira),Carnaiba
26016540,Escola de Referencia em Ensino Medio Aires Gama,Sertao do Alto Pajeu(Afogados da Ingazeira),Flores
26016729,Escola de Referencia em Ensino Fundamental E Ensino Medio Dario Gomes de Lima,Sertao do Alto Pajeu(Afogados da Ingazeira),Flores
26017598,Escola Estadual Joaquim Alves de Freitas,Sertao do Alto Pajeu(Afogados da Ingazeira),Iguaracy
26017750,Escola de Referencia em Ensino Medio Professora Rosete Bezerra de Souza,Sertao do Alto Pajeu(Afogados da Ingazeira),Iguaracy
